SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
864,4502,Physically disabled folks are born for being mocked.,"If someone has a physical handicap, it must be obvious that they must be treated with respect. It should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.",Pointing Out Hypocrisy or Contradictions,DISABLED
865,4503,Physically disabled folks are born for being mocked.,"You cannot blame others for their condition, it is also society's duty to promote inclusion.","Positive Tone, Empathy, and Affiliation",DISABLED
866,4504,Physically disabled folks are born for being mocked.,Being physically or mentally disabled is not a 'mocking attribute'. It is just a characteristic that should not affect how people are treated.,Denouncing,DISABLED
867,4506,Mentally disabled folks are gullible and don't have the brain to make rational decisions.,Just because someone has a diagnosed mental disorder doesn't mean they aren't able to make rational decisions.,Pointing Out Hypocrisy or Contradictions,DISABLED
868,4507,Mentally disabled folks are gullible and don't have the brain to make rational decisions.,"A person can have a diagnosable mental disorder, and still be rational and intelligent.",Fact-Checking,DISABLED
869,4510,Children with Down syndrome should be isolated so they do not hurt other children.,"I believe that if we care enough about people with Down syndrome to give them equal opportunities in our society, we will also see the benefits that would accrue to us as a society from sharing the disadvantages that they face.","Positive Tone, Empathy, and Affiliation",DISABLED
870,4511,People with physical disabilities are less intelligent.,"Many people with disabilities experience prejudice and discrimination, but the overwhelming majority of those people are just as intelligent as others.",Fact-Checking,DISABLED
871,4520,People with disabilities shouldn't be listened to.,"You might be judging others by their disabilities, but this is bad. There is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.","Positive Tone, Empathy, and Affiliation",DISABLED
872,4521,People with disabilities are just privileged spoiled children.,"It is important to remember that disabled people often face discrimination. This could have serious long-term consequences, for example making it harder for people to have a serene life. This is why it's important to fight for their rights.",Warning of Consequences,DISABLED
873,4523,"If you're a person with Down syndrome, you're no good.","The same can be said of many other people, the point is that you can't claim that someone is 'no good' just based on their genetic background.",Pointing Out Hypocrisy or Contradictions,DISABLED
874,4524,"If you're an autistic adult, you're no good, you do not deserve to have a job.","If someone has a mental health problem, or is severely physically limited, then it does not matter how good a person looks or speaks: they deserve equal opportunities, full stop.",Fact-Checking,DISABLED
875,4525,"If you're an autistic adult, you're no good.","And how can you say that? If you have any doubts about it, ask them. You could get the chance to know a good person.","Positive Tone, Empathy, and Affiliation",DISABLED
876,4526,Physically disabled folks are stupid.,"Why do we think that being physically disabled should have any influence on other qualities that people have, like intelligence?",Pointing Out Hypocrisy or Contradictions,DISABLED
877,4528,Disabled people are a burden to society.,"Everyone, regardless of their physical or mental impairments, is capable of contributing to society.",Fact-Checking,DISABLED
878,4529,Jewish are taking over our country and should be banned.,"What percentage of people in the US are Jewish and in a position of power? If you knew, you wouldn't be saying that.",Fact-Checking,JEWS
879,4530,Jews control the government.,Would you say the same thing of any other religion? What if this was said about yours?,Pointing Out Hypocrisy or Contradictions,JEWS
880,4531,The Jews control the banks.,"So how come the media doesn't report about Jewish power in the financial world? Maybe it's because they also control the media, the government, and have many powerful friends working for the Galactic Republic... #sarcasm",Humour/Sarcasm,JEWS
881,4535,Fucking jews are a plague. They have poisoned our youth. They have taken over our country.,"They have certainly not poisoned our youth: the truth is that many of them are good people, and have worked hard for our country. I can't see how they can be a plague.","Positive Tone, Empathy, and Affiliation",JEWS
